서울 강남구 도산대로 104,1,127.0203608,37.5160891
서울 강남구 학동로 426,2,127.047502,37.517305
서울 강동구 구천면로 42길 59,3,127.1368183,37.5450387
서울 강동구 천호대로 1151,4,127.1393437,37.5341742
서울 강북구 삼양로 139길 49,5,127.0118533,37.6479523
서울 강서구 마곡동 727-1091,6,126.8286293,37.5597018
서울 강서구 강서로 45 다길 71 화곡3동,7,126.8351879,37.5446807
서울 관악구 신림동길 14,8,126.9271253,37.4874071
서울 광진구 광나루로 571,9,127.0921146,37.5465324
서울 구로구 가마산로 27길 45,10,126.8900247,37.4987608
서울 금천구 금하로21길 20,11,126.90831,37.4524094
서울 노원구 상계로 118,12,127.0678641,37.6574832
서울 노원구 화랑로 429,13,127.0751637,37.6178232
서울 도봉구 시루봉로2길 34,14,127.0290958,37.6542182
서울 동대문구 천호대로13길 43,15,127.0289072,37.5761767
서울 동대문구 홍릉로 1,16,127.0446271,37.580476
서울 동작구 동작대로 144,17,126.9822028,37.4896467
서울 동작구 사당로16아길 6,18,126.9716704,37.4809888
서울 마포구 노고산동 57-62,19,126.9360379,37.5552288
서울 마포구 대흥로 20길 28,20,126.9455277,37.5499041
서울 서대문구 연희로32길 51,21,126.9378746,37.5767601
서울 서초구 강남대로 201,22,127.0360176,37.4818178
서울 서초구 신반포로15길 16,23,126.9944824,37.5045816
서울 성동구 강변북로 257,24,127.041641,37.53894
서울 성동구 뚝섬로 273,25,127.0417982,37.5430717
서울 성북구 삼양로2길 70,26,127.0273155,37.6066647
서울 성북구 정릉로 180,27,127.0046427,37.6068976
서울 송파구 올림픽로 424,28,127.122959,37.520934
서울 양천구 중앙로52길 56,29,126.8566106,37.5259718
서울 영등포구 양산로23길 11,30,126.897443,37.5249643
서울 영등포구 영중로 37,31,126.9046625,37.519525
서울 용산구 한강대로 405,32,126.9717321,37.5548377
서울 용산구 한남대로 136,33,127.0047152,37.540412
서울 은평구 진흥로 215,34,126.9336539,37.6105751
서울 종로구 종로 169,35,126.9965801,37.5709278
서울 종로구 종로35가길 19,36,127.0050294,37.5720812
서울 중구 덕수궁길 15,37,126.9755468,37.564427
서울 중구 청계천로 184,38,126.998177,37.5686506
서울 중랑구 용마산로 369,39,127.0940571,37.5848993
